module,key,zh-TW,en-US,en-GB,zh-CN,ja-JP,ko-KR,ar-SA,de-DE,fr-FR,es-ES,pt-BR,pt-PT,ru-RU,it-IT,nl-NL,sv-SE,da-DK,fi-FI,no-NO,pl-PL,cs-CZ,hu-HU,ro-RO,tr-TR,uk-UA,he-IL,fa-IR,ur-PK,hi-IN,id-ID,vi-VN,th-TH,bn-BD
claim,faq.a1,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。moonpacket 可以讓群主掛載在自己的群內。玩家不只可以在我們的官方群領取。也可以在所有綁定 moonpacket 紅包機器人的群裡面「q搶紅包」。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,Start our bot to complete a quick trial registration automatically.,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。,使用啟動我們的機器人（機器人鏈接）就自動完成體驗註冊。
claim,faq.a10,必須先完成指定條件（如關注頻道／加入群組／通關密語／外部任務）才能領取。完成後回到該紅包信息帖子的按鈕才能「領取紅包」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a11,Telegram 在不同API 之間有同步延遲，一時未通過請稍等一段時間，如果校驗一直沒辦法通過。比較有可能是API提供方的問題，請反應給發佈紅包任務的項目方。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a12,通關密語的口令通常由主辦的項目方公布在x的貼文或直播或影片中；輸入錯誤可重試，多次錯誤可能觸發限速。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a13,moonpacket提供給外部接入的項目方串接API，用來檢測用戶是否完成任務，用戶在領取紅包的當下會向API詢問，並且回傳驗證結果，合乎條件後解鎖；若當下未回傳，可稍等再重觸發。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a14,成功領取的信息會經由telegram的機器人推送，並且在mini app中有紅包領取紀錄，你可隨時查看歷史與可提現餘額。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a15,依活動設定，目前分為主流的 USDT/SOL/ETH/TON/，以及群主所發行的自己的Token。頁面會標示資產單位與匯率來源（如有）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a16,需要 錢包地址／基礎身份信息，做為安全提問；到帳時間通常 T+0～T+2 工作日。異常風控時可能延長。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a17,一般由領取金額中扣除或由主辦方吸收，規則會在提現頁清楚標示。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a18,不提供「轉贈/合併」的方式。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a19,可能原因：多帳同端、代理/VPN 異常、多群同時搶紅包頻率過高、黑名單地區/ASN 等。你可向機器人發送 /report 信息內容。這是單向回復渠道，官方對於封號處置保留不說明原因也不回復的權利。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a2,不需安裝額外 App，建議使用最新版 Telegram。若使用系統瀏覽器開啟 WebApp，請確認沒有阻擋 Cookie/儲存空間。,只需要在支持的群組中，並且機器人已經加入該群組。,Generally any Telegram user in a supported group where the bot is present.,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。,只需要在支持的群組中，並且機器人已經加入該群組。
claim,faq.a20,在高風險情境會啟用根據用戶填入的信息進行驗證，請在出金時務必填寫正確的安全信息，若未填寫正確的信息，將無法通過生物及證件KYC。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a21,限制通常是暫時的防護措施。請到機器人發送 /report 信息內容。未完成安全信息填寫的驗證者的問題不予處理，完成驗證若情況正常屬實，我們會處理。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a22,每個發放紅包的項目方不一樣，請關注紅包信息的時間和剩餘名額；你可開啟 Telegram 通知，或設定特別的通知音效，方便你收到搶紅包的提醒。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a23,這是你的Telegram上的設定，並不是在moonpacket的設置，你可以自己到telegram的設置內設定通知。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a24,某些地區政策不適用，系統會自動隱藏或無法提現，這表示你無法參與搶紅包遊戲，該地區暫不支援。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a25,站內會依你的語言自動套用在地化分隔符與小數位數；我們顯示最多到小數點後8位，如果你的代幣的數值已經超出可顯示範圍。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a26,可以，建議使用最新版 Telegram。若遇到無法讀取，請確認是否使用官方的客戶單，或更新 App 或在mini app頁面上右上角的三個點點擊Reload Page。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a27,不會影響記錄，但若短時間內在多裝置重複操作，可能會觸發風控。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a28,如果你使用的是高風險代理可能被攔截。建議暫時關閉代理或更換乾淨的網路環境再試。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a29,遵循最小化原則：只蒐集為發放／提現／風控必需的資料（如個人安全問題、錢包地址、email、Telegram ID，當必要身份校驗時，我們由第三方校驗平台校驗，平台並不儲存用戶除了安全信息之外的的隱私信息。）。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a3,通常所有 Telegram 使用者皆可；但由於每個群組自己設計的API不一樣，可以接受領取紅包的條件不同，請參照該群紅包發放的規定。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,Tap the Claim button when you see the packet message in the group.,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。,在群組中看到紅包消息時，點擊「領取」按鈕即可。
claim,faq.a30,所有關鍵操作會有二次驗證；高風險提現可能會觸發人工復核。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a31,可依流程提出資料存取或刪除申請，賬號被刪除後將無法再登錄；但合規要求下會保留交易資料。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a32,你可在機器人提交/report 信息內容聯繫我們；提供錯誤碼與截圖可加速處理。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a33,一般 1–3 個工作日內回覆；緊急資金相關案件會優先處理。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a34,可以；各活動規則獨立，請留意每個活動的上限與有效期。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a35,部分活動會有榜單／徽章與抽獎；規則與獎勵請參考活動頁說明。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a4,這個是大部分群主不允許的行為。系統會以 Telegram 帳號 + 綁定的gmail、驗證碼、唯一錢包地址、降低moonini積分權重等，降低用戶重複領取的可能。,每個紅包每人只能領取一次，先到先得。,"Each person can claim once per packet. First come, first served.",每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。,每個紅包每人只能領取一次，先到先得。
claim,faq.a5,群或頻道主的項目活動方可選「隨機」或「平均分配」或「指定」，每個群的規則不同，請參照領紅包各個群的的活動說明信息中的標示。,可能是網絡問題、餘額不足或紅包已被領完。,"Network issues, zero balance, or the packet has already been fully claimed.",可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。,可能是網絡問題、餘額不足或紅包已被領完。
claim,faq.a6,moonpacket 祇有提供紅包，紅包系統做為輔助機器人工具，和各個平臺的運營商並沒有投資或是業務上的從屬關係，因此平臺方並不會去偏向紅包發放方，提供失去平衡的設計，一切都在 moonpacket 平臺的公平公正的算法下分配。,可以在機器人私聊中查看您的領取歷史記錄。,Check your chat with the bot.,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。,可以在機器人私聊中查看您的領取歷史記錄。
claim,faq.a7,依項目方設計的活動設定而定。有的單次，有的是每日限領，若有「每人多次」上限，系統也會自動限制並在達上限後提示。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a8,若份數搶完或到期即結束；或主辦方也因異常風險暫停或終止，紅包頁面會隨後進行更新，但是由於跨平臺的原因啊，它會有一些延遲，因此假設你再點下去後沒有辦法領取，那麼請reload page刷新頁面再確認紅包活動的情況。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.a9,常見原因：已搶完／任務未完成。少數因為項目分因為風險的暫停或終止。由於群之間的信息更新會有時間差，它並不會被即時反應，請在活動頁發佈群組關注最新紅包信息的發送狀態。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q1,如何註冊？,如何註冊？,How do I register?,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？,如何註冊？
claim,faq.q10,什麼是任務解鎖？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q11,我明明完成任務了，為何顯示未通過？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q12,通關密語在哪裡拿？打錯怎麼辦？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q13,外部任務（如網站註冊/交易）如何驗證？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q14,領到的金額在哪裡看？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q15,支持哪些資產？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q16,提現要綁定什麼？要多久？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q17,手續費／Gas 誰負擔？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q18,可以把餘額轉給朋友或合併嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q19,為什麼被判定為可疑或被攔截？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q2,我需要安裝什麼或關閉什麼功能？,需要什麼資格？,Who can participate?,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？,需要什麼資格？
claim,faq.q20,會需要做KYC驗證（驗證碼）嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q21,我的帳號被限制怎麼辦？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q22,每個紅包活動什麼時候開始／結束？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q23,能開啟或關閉收到我領到／提現完成的通知嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q24,我看不到某些提現方式或玩法？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q25,數字格式顯示到小數點後幾位？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q26,iOS/Android/桌面版 Telegram 都可用嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q27,換裝置會影響領取嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q28,我使用 VPN／代理，會有影響嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q29,會蒐集哪些資料？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q3,哪些人可以參加？,如何領取紅包？,How do I claim a red packet?,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？,如何領取紅包？
claim,faq.q30,有什麼資金安全的保障方式？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q31,我可以刪除帳號或資料嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q32,遇到問題要找誰？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q33,申訴要多久回覆？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q34,可以參加多個群組的活動嗎？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q35,是否有排行榜或勳章？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q4,可以用多個帳號或裝置領嗎？,領取有限制嗎？,Any limits?,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？,領取有限制嗎？
claim,faq.q5,紅包是隨機還是平均？,為什麼領取失敗？,Why did my claim fail?,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？,為什麼領取失敗？
claim,faq.q6,怎麼確保公平？我在那邊看到我的紅包結果？,如何查看領取記錄？,Where to view my claim history?,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？,如何查看領取記錄？
claim,faq.q7,每人可以領幾次？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q8,活動會不會提前結束或延期？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.q9,為什麼按了還是領不到？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_1,開始與資格,1) 開始與資格,Getting started,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格,1) 開始與資格
claim,faq.section_10,客服與申訴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_11,其他玩法與資訊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_2,活動規則與公平,2) 領取流程,How to claim,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程,2) 領取流程
claim,faq.section_3,領取流程與任務,3) 常見問題,Common questions,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題,3) 常見問題
claim,faq.section_4,金額、餘額與提現,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_5,風控與限制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_6,時效與通知,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_7,多語系與地區差異,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_8,裝置與相容性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.section_9,隱私與安全,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claim,faq.tip,小提示：領到了紅包，不要忘記和群主說謝謝哦，也要記得到群主的社交媒體去給他按贊贊。,"Tip: After you claim a red packet, don’t forget to thank the organiser. A like on their social posts helps too!","Tip: After claiming, say thanks to the organiser and drop a like on their social!",小提示：領到了紅包，不要忘記和群主說謝謝哦，也要記得到群主的社交媒體去給他按贊贊。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
